SET,SETArmPosition,mean.slope,sd.slope,unique.pins,n.readings,first.Date,last.Date,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative
3,E,0.002128441518301832,1.9320393117796771e-4,9,187,2004.77868852459,2018.7287671232878,0.002128441518301832,33.04966165012306,7.664290093168891e-10,8,0.0019799318302238,0.002276951206379864,One Sample t-test,two.sided
3,G,0.0018050296811249905,3.4253331477471325e-4,9,189,2004.77868852459,2018.7287671232878,0.0018050296811249905,15.80894123229011,2.562836152783062e-7,8,0.0015417352676864308,0.00206832409456355,One Sample t-test,two.sided
4,B,-0.001855256599703014,6.203493208919303e-4,9,173,2004.7814207650274,2018.7287671232878,-0.001855256599703014,-8.971993055632995,1.896059234185554e-5,8,-0.00233209929945231,-0.0013784138999537185,One Sample t-test,two.sided
4,D,-0.0018581032988412422,9.394436407756607e-4,9,176,2004.7814207650274,2018.7287671232878,-0.0018581032988412422,-5.933628857098063,3.483162375110609e-4,8,-0.002580223605647886,-0.0011359829920345988,One Sample t-test,two.sided
4,F,-0.003230429502757392,5.896212845298057e-4,9,173,2004.7814207650274,2018.7287671232878,-0.003230429502757392,-16.436463137521415,1.892842225000259e-7,8,-0.0036836525428674332,-0.0027772064626473505,One Sample t-test,two.sided
4,H,-0.002319273903077584,4.6734087566242306e-4,9,178,2004.7814207650274,2018.7287671232878,-0.002319273903077584,-14.88810859818441,4.0836771724971296e-7,8,-0.0026785039003534117,-0.001960043905801756,One Sample t-test,two.sided
5,A,5.664453997809278e-4,2.375475964176853e-4,9,117,2004.7814207650274,2018.7945205479452,5.664453997809278e-4,7.153666149308464,9.674300090681215e-5,8,3.838501532319303e-4,7.490406463299253e-4,One Sample t-test,two.sided
5,C,7.356800481954701e-4,4.6950022997967e-4,9,117,2004.7814207650274,2018.7945205479452,7.356800481954701e-4,4.700828676232977,0.001539810949629644,8,3.747902242579947e-4,0.0010965698721329454,One Sample t-test,two.sided
5,E,0.0016283410340845275,0.0011219715907861275,9,117,2004.7814207650274,2018.7945205479452,0.0016283410340845275,4.3539632753364215,0.0024322879662677633,8,7.659173247730587e-4,0.0024907647433959966,One Sample t-test,two.sided
5,G,0.0011957322753841505,4.22249156148659e-4,9,117,2004.7814207650274,2018.7945205479452,0.0011957322753841505,8.495450550739589,2.826364402321056e-5,8,8.711628419957249e-4,0.0015203017087725764,One Sample t-test,two.sided
6,A,-0.007942406381494505,7.926257191733373e-4,9,115,2004.7841530054645,2018.7945205479452,-0.007942406381494505,-30.061122883236646,1.627029242798952e-9,8,-0.008551672443522135,-0.007333140319466874,One Sample t-test,two.sided
6,C,-0.005146702117239204,4.2248163797054623e-4,9,112,2004.7841530054645,2018.7945205479452,-0.005146702117239204,-36.54621873245539,3.4446193820742964e-10,8,-0.005471450251975174,-0.004821953982503234,One Sample t-test,two.sided
6,E,-0.004100644118226381,3.451320922660487e-4,9,110,2004.7841530054645,2018.7945205479452,-0.004100644118226381,-35.64412765532122,4.20242323305775e-10,8,-0.004365936128878772,-0.003835352107573989,One Sample t-test,two.sided
6,G,-0.004923497042104523,3.378606845478403e-4,9,110,2004.7841530054645,2018.7945205479452,-0.004923497042104523,-43.717697269455755,8.268542076973528e-11,8,-0.005183199754001266,-0.004663794330207779,One Sample t-test,two.sided
7,A,0.002617677027390431,3.014867081663454e-4,9,115,2004.7814207650274,2018.7945205479452,0.002617677027390431,26.047685916018494,5.0668271687859065e-9,8,0.002385933828810203,0.002849420225970659,One Sample t-test,two.sided
7,C,0.0029144694700594356,2.3144436236680497e-4,9,116,2004.7814207650274,2018.7945205479452,0.0029144694700594356,37.7775821401141,2.6460905162554617e-10,8,0.002736565584496921,0.0030923733556219505,One Sample t-test,two.sided
7,E,0.0013739724188444515,2.0816851619965708e-4,9,117,2004.7814207650274,2018.7945205479452,0.0013739724188444515,19.80086773823171,4.407158957626208e-8,8,0.0012139599324525433,0.0015339849052363596,One Sample t-test,two.sided
