SampTime,Treatment,Plot,initial.year,Date,n,elev.mean,elev.sd,elev.se,elev.d.mean,elev.d.sd,elev.d.se
SU2018,Nat,0,2007,2018-07-19,2,-0.39715,0.057770624022940927,0.04084999999999999,-0.01889762000000003,0.11210207865208925,0.07926814000000001
SU2018,Nat,5,2007,2018-07-17,5,0.024619999999999996,0.1446186951953308,0.06467544665481638,-0.007136764000000026,0.20014154106182813,0.08950601818716263
SU2018,Nat,10,2007,2018-07-17,5,0.16949999999999998,0.1368549597201358,0.06120339859844385,0.05380726999999997,0.08203385790826248,0.03668665654788672
SU2018,Nat,15,2007,2018-07-19,3,0.2513666666666666,0.04151292971272124,0.023967501144489624,0.05449064333333328,0.08799978713104784,0.050806700788740236
SU2018,Sill,-1,2007,2018-07-21,9,0.0298761111111111,0.16572236848902178,0.05524078949634059,0.14199479888888888,0.08408625724542187,0.028028752415140624
SU2018,Sill,0,2007,2018-07-21,13,-0.05706592307692309,0.1771831069950244,0.0491417521089679,0.0978330846153846,0.06849771577099141,0.018997848189574455
SU2018,Sill,5,2007,2018-07-21,14,0.1748920714285714,0.2028604959763328,0.054216748089605075,0.08012388499999999,0.08567773903213444,0.022898338937976846
SU2018,Sill,10,2007,2018-07-21,12,0.36824216666666665,0.29018929405408134,0.08377043351903567,0.03982016500000001,0.16355930094408955,0.04721550321426856
SU2018,Sill,15,2007,2018-07-20,9,0.5916891111111111,0.3217691271969875,0.10725637573232917,0.08999028999999999,0.08602565185982045,0.028675217286606814
SU2018,Sill,20,2007,2018-07-19,4,0.801625,0.35645020573239494,0.17822510286619747,0.025556430000000026,0.09760478988074889,0.048802394940374444
SU2019,Nat,-1,2007,2019-07-29,4,-0.33186925,0.08001779456002277,0.040008897280011384,-0.008428847500000003,0.002552216488732619,0.0012761082443663095
SU2019,Nat,0,2007,2019-07-29,4,-0.31260275000000004,0.09214908607749003,0.04607454303874502,-0.023744365000000038,0.014091842012286217,0.007045921006143109
SU2019,Nat,5,2007,2019-07-29,5,-0.08112440000000004,0.08754780332652559,0.03915256790377868,-0.01881598200000004,0.0318736998574847,0.014254351915152228
SU2019,Nat,10,2007,2019-07-29,5,0.16682359999999996,0.18894257079943633,0.08449768643022128,-0.01675518000000002,0.0428733774369695,0.0191735572748139
SU2019,Nat,15,2007,2019-07-29,4,0.46377349999999995,0.23089153484338346,0.11544576742169173,-0.008654667500000018,0.08666072425240766,0.04333036212620383
SU2019,Nat,20,2007,2019-07-29,1,0.4460889999999999,NA,NA,-0.15034053000000008,NA,NA
SU2019,Sill,-1,2007,2019-07-30,4,-0.06557200000000005,0.10160532354163347,0.050802661770816736,0.11332403999999995,0.06681399474432136,0.03340699737216068
SU2019,Sill,0,2007,2019-07-29,8,-0.1347587500000001,0.1316867387647671,0.04655829298645411,0.0955042637499999,0.0616394856247568,0.021792849137058125
SU2019,Sill,5,2007,2019-07-29,9,0.18628211111111107,0.2362773675886269,0.0787591225295423,0.07861805999999996,0.09595071486826334,0.03198357162275445
SU2019,Sill,10,2007,2019-07-29,8,0.4450375,0.3119115579065872,0.11027738886310415,0.040088138749999974,0.2015996840424121,0.0712762518357275
SU2019,Sill,15,2007,2019-07-29,5,0.8090784,0.15498121600148834,0.06930970684298121,0.103488014,0.09886508385511382,0.04421380962025029
SU2019,Sill,20,2007,2019-07-29,3,0.9870756666666666,0.09465954547922427,0.054651714063797756,0.034977049999999954,0.11162682917261112,0.0644477798715914
SU2020,Nat,-1,2007,2020-07-15,10,-0.4183,0.12080935394248248,0.0382032721111687,-0.033214283000000025,0.094992753905985,0.03003934635547689
SU2020,Nat,0,2007,2020-07-15,10,-0.401,0.11432944599805522,0.03615414529790771,-0.07709414600000003,0.11055851855115384,0.03496167333556251
SU2020,Nat,5,2007,2020-07-16,14,-0.008346153846153849,0.14899697768402673,0.039821117297030764,-0.04765824769230771,0.17910455787830135,0.047867706570730514
SU2020,Nat,10,2007,2020-07-16,14,0.15315714285714288,0.18597665161265522,0.049704350876712516,0.023626209285714288,0.07677274382228091,0.020518378858967203
